model_id,provider,release_date,context_window,modality,open_weight,parameter_count,arena_elo
gpt-4o,OpenAI,2024-05-13,128000,multimodal,False,,1200
gpt-4o-2024-05-13,OpenAI,2024-05-13,128000,multimodal,False,,1029
gpt-4o-2024-08-06,OpenAI,2024-08-06,128000,multimodal,False,,1368
gpt-4o-2024-11-20,OpenAI,2024-11-20,128000,multimodal,False,,1276
gpt-4o-mini,OpenAI,2024-07-18,128000,multimodal,False,,1009
gpt-4o-mini-2024-07-18,OpenAI,2024-07-18,128000,multimodal,False,,984
gpt-4-turbo,OpenAI,2024-04-09,128000,multimodal,False,,1323
gpt-4-turbo-2024-04-09,OpenAI,2024-04-09,128000,multimodal,False,,1190
gpt-4-0125-preview,OpenAI,2024-01-25,128000,text,False,,1300
gpt-4-1106-preview,OpenAI,2023-11-06,128000,text,False,,1220
gpt-4-0613,OpenAI,2023-06-13,8192,text,False,,1170
gpt-4-32k,OpenAI,2023-03-14,32768,text,False,,1292
gpt-4-0314,OpenAI,2023-03-14,8192,text,False,,1023
gpt-5,OpenAI,2025-12-18,256000,multimodal,False,,1186
gpt-5-pro,OpenAI,2026-02-15,256000,multimodal,False,,1198
gpt-5-mini,OpenAI,2026-01-30,256000,multimodal,False,,1084
gpt-5-nano,OpenAI,2026-04-10,128000,text,False,,1200
gpt-5-turbo,OpenAI,2026-05-01,256000,multimodal,False,,1176
o1,OpenAI,2024-12-17,200000,text,False,,1202
o1-preview,OpenAI,2024-09-12,128000,text,False,,1250
o1-mini,OpenAI,2024-09-12,128000,text,False,,1175
o3,OpenAI,2026-03-05,256000,text,False,,1306
o3-mini,OpenAI,2026-02-10,256000,text,False,,1390
o3-mini-high,OpenAI,2026-02-10,256000,text,False,,1279
o3-pro,OpenAI,2026-05-15,256000,text,False,,1199
o4-mini,OpenAI,2026-06-20,256000,text,False,,1049
gpt-3.5-turbo,OpenAI,2023-03-01,16385,text,False,,1239
gpt-3.5-turbo-0125,OpenAI,2024-01-25,16385,text,False,,1055
gpt-3.5-turbo-1106,OpenAI,2023-11-06,16385,text,False,,1309
chatgpt-4o-latest,OpenAI,2024-08-15,128000,multimodal,False,,1186
gpt-4o-audio-preview,OpenAI,2024-10-01,128000,multimodal,False,,1280
gpt-4o-realtime-preview,OpenAI,2024-10-01,128000,multimodal,False,,1324
claude-3.5-sonnet,Anthropic,2024-06-20,200000,multimodal,False,,1042
claude-3.5-sonnet-20240620,Anthropic,2024-06-20,200000,multimodal,False,,1056
claude-3.5-sonnet-20241022,Anthropic,2024-10-22,200000,multimodal,False,,1221
claude-3.5-haiku,Anthropic,2024-10-22,200000,text,False,,1158
claude-3.5-haiku-20241022,Anthropic,2024-10-22,200000,text,False,,1136
claude-3-opus,Anthropic,2024-02-29,200000,multimodal,False,,1169
claude-3-opus-20240229,Anthropic,2024-02-29,200000,multimodal,False,,1193
claude-3-sonnet,Anthropic,2024-02-29,200000,multimodal,False,,1050
claude-3-sonnet-20240229,Anthropic,2024-02-29,200000,multimodal,False,,1286
claude-3-haiku,Anthropic,2024-03-07,200000,text,False,,1016
claude-3-haiku-20240307,Anthropic,2024-03-07,200000,text,False,,1015
claude-sonnet-5,Anthropic,2025-11-15,200000,multimodal,False,,1288
claude-opus-4,Anthropic,2026-02-20,200000,multimodal,False,,1195
claude-haiku-4,Anthropic,2026-05-01,200000,text,False,,1247
claude-opus-4.5,Anthropic,2026-06-15,200000,multimodal,False,,1310
claude-2.1,Anthropic,2023-11-21,200000,text,False,,1113
claude-2.0,Anthropic,2023-07-11,100000,text,False,,1315
claude-instant-1.2,Anthropic,2023-08-09,100000,text,False,,1209
gemini-1.5-pro,Google,2024-02-15,2000000,multimodal,False,,1202
gemini-1.5-pro-001,Google,2024-05-24,2000000,multimodal,False,,960
gemini-1.5-pro-002,Google,2024-09-24,2000000,multimodal,False,,1205
gemini-1.5-flash,Google,2024-05-14,1000000,multimodal,False,,1233
gemini-1.5-flash-001,Google,2024-05-24,1000000,multimodal,False,,1205
gemini-1.5-flash-002,Google,2024-09-24,1000000,multimodal,False,,1129
gemini-1.5-flash-8b,Google,2024-10-03,1000000,multimodal,False,,1172
gemini-2-pro,Google,2025-12-11,2000000,multimodal,False,,1301
gemini-2-pro-exp,Google,2025-11-15,2000000,multimodal,False,,1221
gemini-2-flash,Google,2026-02-25,1000000,multimodal,False,,1215
gemini-2-flash-lite,Google,2026-03-10,1000000,multimodal,False,,1275
gemini-2-flash-thinking,Google,2026-01-20,1000000,multimodal,False,,1302
gemini-2-nano,Google,2026-05-20,32000,text,False,,981
gemma-2-27b,Google,2024-06-27,8192,text,True,27B,1023
gemma-2-9b,Google,2024-06-27,8192,text,True,9B,1043
gemma-2-2b,Google,2024-06-27,8192,text,True,2B,1261
gemma-7b,Google,2024-02-21,8192,text,True,7B,1011
gemma-2b,Google,2024-02-21,8192,text,True,2B,1043
gemma-3-27b,Google,2026-03-15,16384,text,True,27B,1107
gemma-3-12b,Google,2026-03-15,16384,text,True,12B,1001
gemma-3-4b,Google,2026-03-15,16384,text,True,4B,1278
gemma-3-1b,Google,2026-03-15,16384,text,True,1B,1225
codegemma-7b,Google,2024-04-09,8192,text,True,7B,1249
recurrentgemma-2b,Google,2024-04-09,2048,text,True,2B,1075
gemini-1.0-pro,Google,2023-12-06,32768,text,False,,1245
gemini-1.0-ultra,Google,2024-02-08,32768,multimodal,False,,1317
palm-2-bison,Google,2023-05-10,8192,text,False,,1190
palm-2-unicorn,Google,2023-05-10,8192,text,False,,1235
llama-3.1-405b,Meta,2024-07-23,128000,text,True,405B,1305
