model_id,date,quality_score,cost_per_1k_queries,quality_per_dollar,speed_per_dollar,price_performance_ratio,elo_benchmark_blend
gpt-4o,2024-06-03,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-06-10,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-06-17,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-06-24,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-07-01,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-07-08,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-07-15,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-07-22,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-07-29,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-08-05,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-08-12,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-08-19,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-08-26,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-09-02,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-09-09,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-09-16,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-09-23,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-09-30,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-10-07,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-10-14,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-10-21,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-10-28,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-11-04,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-11-11,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-11-18,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-11-25,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-12-02,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-12-09,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-12-16,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-12-23,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2024-12-30,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-01-06,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-01-13,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-01-20,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-01-27,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-02-03,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-02-10,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-02-17,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-02-24,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-03-03,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-03-10,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-03-17,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-03-24,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-03-31,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-04-07,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-04-14,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-04-21,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-04-28,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-05-05,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-05-12,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-05-19,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-05-26,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-06-02,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-06-09,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-06-16,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-06-23,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-06-30,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-07-07,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-07-14,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-07-21,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-07-28,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-08-04,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
gpt-4o,2025-08-11,60.15,2.5200,23.8690,23.8095,47.4197,0.7007
