model_id,date_recorded,input_price_per_mtok,output_price_per_mtok,cached_input_price,batch_discount_pct,source_url
gpt-4o,2024-06-03,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240603/https://openai.com/pricing
gpt-4o,2024-06-10,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240610/https://openai.com/pricing
gpt-4o,2024-06-17,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240617/https://openai.com/pricing
gpt-4o,2024-06-24,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240624/https://openai.com/pricing
gpt-4o,2024-07-01,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240701/https://openai.com/pricing
gpt-4o,2024-07-08,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240708/https://openai.com/pricing
gpt-4o,2024-07-15,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240715/https://openai.com/pricing
gpt-4o,2024-07-22,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240722/https://openai.com/pricing
gpt-4o,2024-07-29,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240729/https://openai.com/pricing
gpt-4o,2024-08-05,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240805/https://openai.com/pricing
gpt-4o,2024-08-12,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240812/https://openai.com/pricing
gpt-4o,2024-08-19,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240819/https://openai.com/pricing
gpt-4o,2024-08-26,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240826/https://openai.com/pricing
gpt-4o,2024-09-02,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240902/https://openai.com/pricing
gpt-4o,2024-09-09,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240909/https://openai.com/pricing
gpt-4o,2024-09-16,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240916/https://openai.com/pricing
gpt-4o,2024-09-23,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240923/https://openai.com/pricing
gpt-4o,2024-09-30,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20240930/https://openai.com/pricing
gpt-4o,2024-10-07,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241007/https://openai.com/pricing
gpt-4o,2024-10-14,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241014/https://openai.com/pricing
gpt-4o,2024-10-21,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241021/https://openai.com/pricing
gpt-4o,2024-10-28,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241028/https://openai.com/pricing
gpt-4o,2024-11-04,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241104/https://openai.com/pricing
gpt-4o,2024-11-11,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241111/https://openai.com/pricing
gpt-4o,2024-11-18,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241118/https://openai.com/pricing
gpt-4o,2024-11-25,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241125/https://openai.com/pricing
gpt-4o,2024-12-02,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241202/https://openai.com/pricing
gpt-4o,2024-12-09,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241209/https://openai.com/pricing
gpt-4o,2024-12-16,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241216/https://openai.com/pricing
gpt-4o,2024-12-23,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241223/https://openai.com/pricing
gpt-4o,2024-12-30,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20241230/https://openai.com/pricing
gpt-4o,2025-01-06,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250106/https://openai.com/pricing
gpt-4o,2025-01-13,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250113/https://openai.com/pricing
gpt-4o,2025-01-20,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250120/https://openai.com/pricing
gpt-4o,2025-01-27,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250127/https://openai.com/pricing
gpt-4o,2025-02-03,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250203/https://openai.com/pricing
gpt-4o,2025-02-10,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250210/https://openai.com/pricing
gpt-4o,2025-02-17,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250217/https://openai.com/pricing
gpt-4o,2025-02-24,2.1000,7.3500,1.0500,50,https://web.archive.org/web/20250224/https://openai.com/pricing
